id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYSu_mpW,tehran,peugeot20605,1384,silver,400000,minor_scratch,healthy,intact,intact,6,manual,176000000 
wYS6v-3E,tehran,peugeot20605,1393,white,96000,intact,healthy,intact,intact,6,manual,280000000 
wYSyv85R,tehran,peugeot20605,1396,white,86000,colored,healthy,intact,intact,8,manual,274000000 
wYSyvRud,tehran,peugeot20605,1396,white,92000,colored,healthy,intact,intact,9,manual,299000000 
wYSmP-Sd,tehran,peugeot20605,1395,white,141000,colored,healthy,intact,intact,1,manual,265000000 
wYSqPUnW,tehran,peugeot20605,1395,white,133000,minor_scratch,healthy,intact,intact,3,manual,269000000 
wYHiVTQn,tehran,peugeot20605,1392,eggplant,133000,collision_rep,healthy,intact,intact,9,manual,239000000 
wYSCOzFP,tehran,peugeot20605,1395,white,101000,colored,healthy,intact,intact,1,manual,265000000 
wY65h-zH,tehran,peugeot20605,1396,black,88000,minor_scratch,healthy,intact,intact,6,manual,317000000 
wYSCf5B1,tehran,peugeot20605,1394,white,52000,intact,healthy,intact,intact,5,,298000000 
wYSmepik,tehran,peugeot20605,1393,white,108000,whole_colored,healthy,intact,intact,5,manual,188000000 
wYSmu3lc,tehran,peugeot20605,1394,white,137000,intact,healthy,intact,intact,4,manual,275000000 
wYQeCguw,tehran,peugeot20605,1396,white,74000,minor_scratch,healthy,intact,intact,7,manual,289000000 
wYEuG5Vh,tehran,peugeot20605,1399,black,50000,minor_scratch,healthy,intact,intact,8,manual,364000000 
wYSSODcU,tehran,peugeot20605,1395,white,68000,intact,healthy,intact,intact,12,manual,295000000 
wYSm9G5y,tehran,peugeot20605,1392,ashgray,128000,intact,healthy,intact,intact,6,manual,248000000 
wYSu9w7q,tehran,peugeot20605,1390,seashell,146000,intact,healthy,intact,intact,2,manual,225000000 
wYMWhxMx,tehran,peugeot20605,1395,black,148000,intact,healthy,intact,intact,9,manual,295000000 
wYSq9uHy,tehran,peugeot20605,1393,white,167000,minor_scratch,healthy,,,7,manual,220000000 
wYSONWT1,tehran,peugeot20605,1394,ashgray,128000,minor_scratch,healthy,intact,intact,12,manual,234000000 
wYSWtZxi,tehran,peugeot20605,1395,white,109000,intact,healthy,intact,intact,12,manual,288000000 
wYQaKBWF,tehran,peugeot20605,1394,white,130000,colored,,,,12,,250000000 
wYSKtrQ4,tehran,peugeot20605,1399,silver,19000,minor_scratch,healthy,intact,intact,9,manual,345000000 
wYQujIr4,tehran,peugeot20605,1396,white,90000,intact,healthy,intact,intact,10,manual,295000000
wYS2sGF6,tehran,peugeot20605,1394,white,180000,minor_scratch,healthy,intact,intact,9,manual,298000000
wYSmsv3G,tehran,peugeot20605,1396,white,136000,collision_rep,healthy,intact,intact,3,manual,292000000
wYSa8cWw,tehran,peugeot20605,1383,silver,338000,round_colored,healthy,intact,intact,5,manual,150000000
wYSG8B3W,tehran,peugeot20605,1392,ashgray,129000,minor_scratch,healthy,intact,intact,10,manual,245000000
wYS6aIRe,tehran,peugeot20605,1398,white,65000,intact,healthy,intact,intact,12,manual,344000000
wYSWoc3D,tehran,peugeot20605,1399,white,40000,intact,healthy,intact,intact,4,manual,367000000
wYDuLNMr,tehran,peugeot20605,1382,silver,245000,whole_colored,healthy,intact,intact,6,manual,175000000
