id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYr2AkU8,tehran,peugeot20605,1398,white,42000,minor_scratch,healthy,intact,intact,3,manual,455000000
wYz6D51x,tehran,peugeot20605,1397,white,92000,intact,healthy,intact,intact,6,manual,389000000
wYz2iOta,tehran,peugeot20605,1397,white,100000,collision_rep,healthy,intact,intact,9,manual,375000000
wYzKzTLA,tehran,peugeot20605,1397,white,90000,intact,healthy,intact,intact,10,manual,400000000
wYz-C5Po,tehran,peugeot20605,1394,seashell,110000,minor_scratch,healthy,intact,intact,4,manual,330000000
wYxCO-B6,tehran,peugeot20605,1394,white,103000,intact,healthy,intact,intact,9,manual,335000000
wYzuSNRl,tehran,peugeot20605,1397,white,55000,intact,healthy,intact,intact,n/a,manual,388000000
wYz2R_go,tehran,peugeot20605,1396,white,97000,minor_scratch,healthy,intact,intact,8,manual,380000000
wYzeCLNg,tehran,peugeot20605,1395,ashgray,127000,intact,healthy,intact,intact,9,manual,365000000
wYzOy3iM,tehran,peugeot20605,1395,white,114000,intact,healthy,intact,impact,5,manual,360000000
wYzSR49C,tehran,peugeot20605,1398,white,32000,intact,healthy,intact,intact,12,manual,450000000
wYzixE5p,tehran,peugeot20605,1395,white,118500,intact,healthy,intact,intact,2,manual,375000000
wYjS2jjX,tehran,peugeot20605,1396,black,89000,minor_scratch,healthy,intact,intact,6,manual,425000000
wYzWBDKT,tehran,peugeot20605,1397,white,112000,intact,healthy,intact,impact,9,manual,349500000
wYz-gh-j,tehran,peugeot20605,1394,white,130000,minor_scratch,healthy,intact,intact,9,manual,345000000
wYzGhr4e,tehran,peugeot20605,1396,black,82200,colored,healthy,impact,intact,2,manual,320000000
wYzuwNhC,tehran,peugeot20605,1397,white,59000,intact,healthy,intact,intact,12,manual,405000000
wYzygMvw,tehran,peugeot20605,1398,ashgray,59000,intact,healthy,intact,intact,6,manual,410000000
wYsqJoii,tehran,peugeot20605,1393,black,162000,intact,healthy,intact,intact,2,manual,330000000
wYuOZ-Wi,tehran,peugeot20605,1394,white,72000,intact,healthy,intact,intact,9,manual,365000000
wYr2AkU8,tehran,peugeot20605,1398,white,42000,minor_scratch,healthy,intact,intact,3,manual,455000000
wYz6D51x,tehran,peugeot20605,1397,white,92000,intact,healthy,intact,intact,6,manual,389000000
wYz2iOta,tehran,peugeot20605,1397,white,100000,collision_rep,healthy,intact,intact,9,manual,375000000
wYwaZnKx,tehran,peugeot20605,1399,white,24500,intact,healthy,intact,intact,11,manual,482000000
wYzKzTLA,tehran,peugeot20605,1397,white,90000,intact,healthy,intact,intact,10,manual,400000000
wYz-C5Po,tehran,peugeot20605,1394,seashell,110000,minor_scratch,healthy,intact,intact,4,manual,330000000
wYxCO-B6,tehran,peugeot20605,1394,white,103000,intact,healthy,intact,intact,9,manual,335000000
wYzuSNRl,tehran,peugeot20605,1397,white,55000,intact,healthy,intact,intact,n/a,manual,388000000
wYz2R_go,tehran,peugeot20605,1396,white,97000,minor_scratch,healthy,intact,intact,8,manual,380000000
wYzeCLNg,tehran,peugeot20605,1395,ashgray,127000,intact,healthy,intact,intact,9,manual,365000000
wYzOy3iM,tehran,peugeot20605,1395,white,114000,intact,healthy,intact,impact,5,manual,360000000
wYzSR49C,tehran,peugeot20605,1398,white,32000,intact,healthy,intact,intact,12,manual,450000000
wYzixE5p,tehran,peugeot20605,1395,white,118500,intact,healthy,intact,intact,2,manual,375000000
wYjS2jjX,tehran,peugeot20605,1396,black,89000,minor_scratch,healthy,intact,intact,6,manual,425000000
wYzWBDKT,tehran,peugeot20605,1397,white,112000,intact,healthy,intact,impact,9,manual,349500000
wYz-gh-j,tehran,peugeot20605,1394,white,130000,minor_scratch,healthy,intact,intact,9,manual,345000000
wYzGhr4e,tehran,peugeot20605,1396,black,82200,colored,healthy,impact,intact,2,manual,320000000
wYzuwNhC,tehran,peugeot20605,1397,white,59000,intact,healthy,intact,intact,12,manual,405000000
wYzygMvw,tehran,peugeot20605,1398,ashgray,59000,intact,healthy,intact,intact,6,manual,410000000
wYsqJoii,tehran,peugeot20605,1393,black,162000,intact,healthy,intact,intact,2,manual,330000000
wYzWgOPB,tehran,peugeot20605,1398,black,60000,intact,healthy,intact,intact,n/a,n/a,445000000
wYuOZ-Wi,tehran,peugeot20605,1394,white,72000,intact,healthy,intact,intact,9,manual,365000000
wYzGA3aG,tehran,peugeot20605,1398,seashell,52000,minor_scratch,healthy,intact,intact,12,manual,420000000
wYyyfh2H,tehran,peugeot20605,1397,white,80000,colored,healthy,intact,intact,n/a,manual,370000000
wYy2vtB_,tehran,peugeot20605,1395,white,130000,intact,healthy,intact,intact,10,manual,359000000
wYhWKVfk,tehran,peugeot20605,1398,black,68000,colored,healthy,intact,intact,4,manual,425000000
wYymvP4Q,tehran,peugeot20605,1396,white,78000,minor_scratch,healthy,intact,intact,6,manual,390000000
wYyWv9s6,tehran,peugeot20605,1393,white,145000,intact,healthy,intact,intact,12,manual,310000000
wYyiPcWF,tehran,peugeot20605,1396,ashgray,110000,round_colored,healthy,intact,intact,6,manual,305000000
wYx-6ssT,tehran,peugeot20605,1393,white,179000,colored,healthy,intact,intact,5,manual,278000000
wYwqRutB,tehran,peugeot20605,1398,white,52000,colored,healthy,intact,intact,5,manual,402000000
wYyaPP-D,tehran,peugeot20605,1390,white,300000,minor_scratch,healthy,intact,intact,7,manual,255000000
wYxKkCLW,tehran,peugeot20605,1394,white,35000,intact,healthy,intact,intact,9,manual,358000000
wYy2uB5A,tehran,peugeot20605,1396,white,32000,minor_scratch,healthy,intact,intact,2,manual,400000000
wYyeumRM,tehran,peugeot20605,1384,silver,300000,round_colored,healthy,intact,intact,6,manual,250000000
wYoWVyie,tehran,peugeot20605,1396,white,165000,colored,healthy,intact,intact,6,manual,340000000
wYyW-ENI,tehran,peugeot20605,1397,white,55000,colored,healthy,intact,intact,6,manual,360000000
wYySeW1l,tehran,peugeot20605,1395,white,114000,minor_scratch,healthy,intact,impact,5,manual,360000000
wYyKO4-F,tehran,peugeot20605,1397,white,68000,intact,healthy,intact,intact,5,manual,390000000
wYyCuUJA,tehran,peugeot20605,1396,white,96000,round_colored,healthy,n/a,n/a,11,n/a,298000000
wYwuDOg1,tehran,peugeot20605,1393,purple,165000,minor_scratch,healthy,intact,intact,6,manual,295000000
wYy29Ab6,tehran,peugeot20605,1390,white,50000,intact,healthy,intact,intact,12,manual,380000000
wYyqNgHu,tehran,peugeot20605,1398,white,39000,minor_scratch,healthy,intact,intact,10,manual,438000000
wYyydAao,tehran,peugeot20605,1396,white,97000,minor_scratch,healthy,intact,intact,1,manual,375000000
wYymtds9,tehran,peugeot20605,1393,silver,140000,intact,healthy,intact,intact,12,manual,318000000
